appid,displayName,WhyExcluded
00000001-0000-0000-c000-000000000000,Azure ESTS Service,Microsoft
00000002-0000-0000-c000-000000000000,Windows Azure Active Directory,Microsoft
00000002-0000-0ff1-ce00-000000000000,Office 365 Exchange Online / Hybrid App,Microsoft
00000002-0000-0ff1-ce00-000000000000,Outlook Web App (alt),Microsoft
00000002-0000-0ff1-ce00-000000000000,Office 365 Exchange Online,Microsoft
00000003-0000-0000-c000-000000000000,Microsoft Graph,Microsoft
00000003-0000-0ff1-ce00-000000000000,Office 365 SharePoint Online,Microsoft
00000004-0000-0ff1-ce00-000000000000,Skype for Business Online / Lync,Microsoft
00000004-0000-0ff1-ce00-000000000000,Skype for Business Online,Microsoft
00000005-0000-0000-c000-000000000000,Microsoft Azure Workflow,Microsoft
00000005-0000-0ff1-ce00-000000000000,Viva Engage,Microsoft
00000006-0000-0ff1-ce00-000000000000,Microsoft Office 365 Portal,Microsoft
00000007-0000-0000-c000-000000000000,Dataverse,Microsoft
00000007-0000-0ff1-ce00-000000000000,Microsoft Exchange Online Protection,Microsoft
00000008-0000-0000-c000-000000000000,Microsoft.Azure.DataMarket,Microsoft
00000009-0000-0000-c000-000000000000,Power BI Service,Microsoft
0000000a-0000-0000-c000-000000000000,Microsoft.Intune,Microsoft
0000000b-0000-0000-c000-000000000000,Microsoft Seller Dashboard,Microsoft
0000000c-0000-0000-c000-000000000000,Microsoft App Access Panel,Microsoft
0000000f-0000-0000-c000-000000000000,Microsoft.Azure.GraphExplorer,Microsoft
00000010-0000-0000-c000-000000000000,Microsoft.Azure.GraphStore,Microsoft
00000012-0000-0000-c000-000000000000,Microsoft Rights Management Services,Microsoft
00000013-0000-0000-c000-000000000000,Azure Classic Portal,Microsoft
00000014-0000-0000-c000-000000000000,Microsoft.Azure.SyncFabric,Microsoft
00000015-0000-0000-c000-000000000000,Microsoft Dynamics ERP,Microsoft
0000001b-0000-0000-c000-000000000000,Microsoft Power BI Information Service,Microsoft
00695ed2-3202-4156-8da1-69f60065e255,Microsoft Visio Data Visualizer,Microsoft
00b41c95-dab0-4487-9791-b9d2c32c80f2,Office 365 Management,Microsoft
00edd498-7c0c-4e68-859c-5a55d518c9c0,Teams Calling Meeting Devices Services,Microsoft
00f82732-f451-4a01-918c-0e9896e784f9,Skype for Business Application Configuration Service,Microsoft
01cb2876-7ebd-4aa4-9cc9-d28bd4d359a9,Device Registration Service,Microsoft
01fc33a7-78ba-4d2f-a4b7-768e336e890e,MS-PIM,Microsoft
03509b1f-54e9-4557-a555-19a090903b84,CRM Power BI Integration GCC High,Microsoft
035f9e1d-4f00-4419-bf50-bf2d87eb4878,Azure Monitor Restricted,Microsoft
038187f5-ca69-4382-8c0b-8d87708d099f,MSAI Substrate Meeting Intelligence,Microsoft
041e4c2d-ba3e-46a1-9347-5bc4054c8af4,Power Automate Desktop GCC,Microsoft
04436913-cf0d-4d2a-9cc6-2ffe7f1d3d1c,Windows Notification Service,Microsoft
04687a56-4fc2-4e36-b274-b862fb649733,MDATPNetworkScanAgent,Microsoft
0469d4cd-df37-4d93-8a61-f8c75b809164,Policy Administration Service,Microsoft
04b07795-8ddb-461a-bbee-02f9e1bf7b46,Microsoft Azure CLI,Microsoft
04d97d71-f71f-450b-8b44-f638d5d1b5d6,PhysOps.Clients.Worker,Microsoft
04f0c124-f2bc-4f59-8241-bf6df9866bbd,Visual Studio,Microsoft
0517ffae-825d-4aff-999e-3f2336b8a20a,M365 App Management Service,Microsoft
0527d918-8aec-4c44-9f4e-86cc8b88d87b,AIBuilder_StructuredML_PreProd_CDS,Microsoft
05a65629-4c1b-48c1-a78b-804c4abdd4af,Microsoft Cloud App Security,Microsoft
05d97c70-cb7c-4e66-8138-d5ca7c59d206,Fiji Storage Backend,Microsoft
065d9450-1e87-434e-ac2f-69af271549ed,PowerPlatformAdminCenter,Microsoft
06dd8193-75af-46d0-84bb-9b9bcaa89e8b,SubstrateActionsService,Microsoft
0736f41a-0425-4b46-bdb5-1563eff02385,Azure Machine Learning,Microsoft
079013fb-85d0-4d99-87d0-aeca060231e3,DynamicsInstallerTest,Microsoft
07ce06e6-4ae9-4466-bca4-2984fa04d057,Microsoft Dynamics File Storage,Microsoft
080765e3-9336-4461-b934-310acccb907d,Defender for Storage Advanced Threat Protection Resource Provider,Microsoft
08e18876-6177-487e-b8b5-cf950c1e598c,SharePointOnlineWebClientExtensibility,Microsoft
08e18876-6177-487e-b8b5-cf950c1e598c,SharePoint Online Web Client Extensibility,Microsoft
091c98b0-a1c9-4b02-b62c-7753395ccabe,Dynamics RCS Workload,Microsoft
09213cdc-9f30-4e82-aa6f-9b6e8d82dab3,Microsoft Tech Community,Microsoft
09a984f4-014c-43de-ae0c-7ec73dc053d3,BenefitsFD,Microsoft
09abbdfd-ed23-44ee-a2d9-a627aa1c90f3,ProjectWorkManagement,Microsoft
09be0be4-1874-4f49-bc5c-78e6fc2a8065,Power Apps Portals - Development,Microsoft
0a0a29f9-0a25-49c7-94bf-c53c3f8fa69d,Cortana Experience with O365,Microsoft
0a5f63c0-b750-4f38-a71c-4fc0d58b89e2,Microsoft Mobile Application Management,Microsoft
0af06dc6-e4b5-4f28-818e-e78e62d137a5,Windows 365,Microsoft
0b820e0a-8d08-45d1-8740-bde894f7e1c2,Lobe Client,Microsoft
0bf30f3b-4a52-48df-9a82-234910c4a086,Microsoft Graph Change Tracking,Microsoft
0bfc4568-a4ba-4c58-bd3e-5d3e76bd7fff,Dynamics365AICustomerInsights,Microsoft
0c708d37-30b2-4f22-8168-5d0cba6f37be,Microsoft Teams Partner Tenant Administration,Microsoft
0c7668b5-3260-4ad0-9f53-34ed54fa19b2,Microsoft Defender for Cloud Servers Scanner Resource Provider,Microsoft
0c906d81-7073-46b5-a95c-3726fca3e3a3,Power Platform Insights and Recommendations Data Plane Prod,Microsoft
0cb2a3b9-c0b0-4f92-95e2-8955085f78c2,PowerApps,Microsoft
0cb7b9ec-5336-483b-bc31-b15b5788de71,ASM Campaign Servicing,Microsoft
0cd196ee-71bf-4fd6-a57c-b491ffd4fb1e,Media Analysis and Transformation Service,Microsoft
0d38933a-0bbd-41ca-9ebd-28c4b5ba7cb7,Office365 Zoom,Microsoft
0e282aa8-2770-4b6c-8cf8-fac26e9ebe1f,Sherlock,Microsoft
0eb4bf93-cb63-4fe1-9d7d-70632ccf3082,Microsoft Teams Intelligent Workspaces Interactions Service,Microsoft
0eda3b13-ddc9-4c25-b7dd-2f6ea073d6b7,Microsoft Flow CDS Integration Service,Microsoft
0ef09fa7-413d-4a9f-a7a5-32f8f62b7598,Field Service Mobile,Microsoft
0ef94e72-e4fc-4aa0-a8f4-ff27deb3e6eb,Teams NRT DLP Ingestion Service,Microsoft
0f54b75d-4d29-4a92-80ae-106a60cd8f5d,Teams User Engagement Profile Service,Microsoft
0f663440-6490-4534-92fa-6cd13cfd374c,Azure Cost Management Public Main RP,Microsoft
0f698dd4-f011-4d23-a33e-b36416dcb1e6,OfficeClientService,Microsoft
0f6e3eff-886c-4f7a-a1d7-6f1f0177273b,Intune oAuth Graph,Microsoft
